timestamp,gender,A00-A04,A05-A14,A15-A34,A35-A59,A60-A79,A80+,ALL
1615593600,F,15,22,70,114,52,18,291
1615593600,M,10,22,61,108,49,16,266
1615680000,A,14,22,58,100,51,18,263
1615680000,F,8,10,36,53,28,11,146
1615680000,M,6,12,22,47,23,7,117
1615766400,A,5,25,56,149,70,34,339
1615766400,F,2,9,27,67,37,17,159
1615766400,M,3,16,29,82,33,17,180
1615852800,A,39,60,186,315,144,48,792
1615852800,F,23,32,102,165,81,26,429
1615852800,M,16,28,84,150,63,22,363
1615939200,A,22,61,163,360,154,54,814
1615939200,F,11,32,88,182,86,37,436
1615939200,M,11,29,75,178,68,17,378
1616025600,A,30,71,204,358,128,48,839
1616025600,F,14,36,114,183,70,28,445
1616025600,M,16,35,90,175,58,20,394
1616112000,A,40,72,197,316,154,67,846
1616112000,F,16,27,95,174,73,47,432
1616112000,M,24,45,102,141,81,20,413
1616198400,A,21,67,132,232,142,28,622
1616198400,F,9,27,65,121,68,18,308
1616198400,M,12,40,67,111,74,10,314
1616284800,A,9,22,53,127,56,19,286
1616284800,F,6,7,24,58,28,7,130
1616284800,M,3,15,29,69,28,12,156
1616371200,A,12,48,88,156,65,31,400
1616371200,F,6,19,45,88,24,14,196
1616371200,M,6,29,43,68,41,17,204
1616457600,A,27,72,172,346,190,52,859
1616457600,F,11,40,86,188,100,31,456
1616457600,M,16,32,86,158,90,21,403
1616544000,A,31,90,247,448,168,49,1033
1616544000,F,19,41,116,229,91,32,528
1616544000,M,12,49,131,219,77,17,505
1616630400,A,17,73,207,376,170,42,885
1616630400,F,8,31,108,182,78,25,432
1616630400,M,9,42,99,193,92,17,452
1616716800,A,23,77,223,380,195,43,941
1616716800,F,10,33,96,187,99,26,451
1616716800,M,13,44,127,193,96,17,490
1616803200,A,24,57,156,294,154,32,717
1616803200,F,8,27,74,149,61,22,341
1616803200,M,16,30,82,145,93,10,376
1616889600,A,5,18,68,165,81,24,361
1616889600,F,3,7,34,85,49,16,194
1616889600,M,2,11,34,80,32,8,167
1616976000,A,14,37,122,217,119,40,549
1616976000,F,6,16,49,108,71,27,277
1616976000,M,8,21,73,109,48,13,272
1617062400,A,31,59,198,407,188,41,924
1617062400,F,13,23,108,206,83,27,460
1617062400,M,18,36,90,201,105,14,464
1617148800,A,30,98,265,485,233,73,1184
1617148800,F,17,46,127,250,112,46,598
1617148800,M,13,52,138,235,121,27,586
1617235200,A,22,69,188,397,226,45,947
1617235200,F,7,32,96,193,105,30,463
1617235200,M,15,37,92,204,121,15,484
1617321600,A,13,40,144,288,151,40,676
1617321600,F,5,20,69,151,70,33,348
1617321600,M,8,20,75,137,81,7,328
1617408000,A,18,37,113,188,101,21,478
1617408000,F,6,18,57,76,48,12,217
1617408000,M,12,19,56,112,53,9,261
1617494400,A,9,16,53,101,40,9,228
1617494400,F,2,7,33,55,21,6,124
1617494400,M,7,9,20,46,19,3,104
1617580800,A,7,14,47,108,59,18,253
1617580800,F,4,6,20,55,26,12,123
1617580800,M,3,8,27,53,33,6,130
1617667200,A,18,21,88,223,100,33,483
1617667200,F,8,11,43,115,49,18,244
1617667200,M,10,10,45,108,51,15,239
1617753600,A,26,67,253,468,237,45,1096
1617753600,F,15,38,120,229,121,26,549
1617753600,M,11,29,133,239,116,19,547
1617840000,A,26,70,253,466,260,48,1123
1617840000,F,15,38,126,246,133,31,589
1617840000,M,11,32,127,220,127,17,534
1617926400,A,23,49,242,409,228,54,1005
1617926400,F,9,26,123,207,113,29,507
1617926400,M,14,23,119,202,115,25,498
1618012800,A,30,43,167,278,137,29,684
1618012800,F,10,24,75,139,74,21,343
1618012800,M,20,19,92,139,63,8,341
1618099200,A,4,15,72,135,53,20,299
1618099200,F,3,6,37,86,30,13,175
1618099200,M,1,9,35,49,23,7,124
1618185600,A,9,30,112,173,101,37,462
1618185600,F,4,10,60,88,49,23,234
1618185600,M,5,20,52,85,52,14,228
1618272000,A,28,84,229,421,202,46,1010
1618272000,F,17,42,126,207,93,27,512
1618272000,M,11,42,103,214,109,19,498
1618358400,A,25,69,302,516,262,66,1240
1618358400,F,12,35,145,289,134,36,651
1618358400,M,13,34,157,227,128,30,589
1618444800,A,26,83,266,379,186,64,1004
1618444800,F,14,44,126,203,101,39,527
1618444800,M,12,39,140,176,85,25,477
1618531200,A,35,55,205,345,156,41,837
1618531200,F,21,29,97,169,74,27,417
1618531200,M,14,26,108,176,82,14,420
1618617600,A,14,50,142,200,107,24,537
1618617600,F,6,21,70,108,54,15,274
1618617600,M,8,29,72,92,53,9,263
1618704000,A,6,27,68,120,54,9,284
1618704000,F,5,15,29,55,31,5,140
1618704000,M,1,12,39,65,23,4,144
1618790400,A,17,38,111,177,97,37,477
1618790400,F,6,19,57,97,54,24,257
1618790400,M,11,19,54,80,43,13,220
1618876800,A,27,68,241,399,214,34,983
1618876800,F,14,30,111,199,107,20,481
1618876800,M,13,38,129,200,107,14,501
1618963200,A,14,73,260,418,200,40,1005
1618963200,F,10,40,134,210,91,25,510
1618963200,M,4,33,126,208,109,15,495
1619049600,A,24,71,224,365,150,40,874
1619049600,F,8,33,118,178,78,25,440
1619049600,M,16,38,106,187,72,15,434
1619136000,A,20,69,174,322,148,35,768
1619136000,F,10,38,96,162,77,24,407
