Timestamp,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz,Hospitalisierung_Faelle
1590710400,00-04,0,0.00,0.00
1590710400,05-14,0,0.00,0.00
1590710400,15-34,0,0.00,0.00
1590710400,35-59,2,0.28,0.29
1590710400,60-79,12,2.15,1.71
1590710400,80+,17,9.49,2.43
1590796800,00+,30,1.41,4.29
1590796800,00-04,0,0.00,0.00
1590796800,05-14,0,0.00,0.00
1590796800,15-34,0,0.00,0.00
1590796800,35-59,2,0.28,0.29
1590796800,60-79,13,2.32,1.86
1590796800,80+,15,8.37,2.14
1590883200,00+,29,1.37,4.14
1590883200,00-04,0,0.00,0.00
1590883200,05-14,0,0.00,0.00
1590883200,15-34,0,0.00,0.00
1590883200,35-59,2,0.28,0.29
1590883200,60-79,13,2.32,1.86
1590883200,80+,14,7.81,2.00
1590969600,00+,30,1.41,4.29
1590969600,00-04,0,0.00,0.00
1590969600,05-14,0,0.00,0.00
1590969600,15-34,0,0.00,0.00
1590969600,35-59,2,0.28,0.29
1590969600,60-79,12,2.15,1.71
1590969600,80+,16,8.93,2.29
1591056000,00+,28,1.32,4.00
1591056000,00-04,0,0.00,0.00
1591056000,05-14,0,0.00,0.00
1591056000,15-34,0,0.00,0.00
1591056000,35-59,2,0.28,0.29
1591056000,60-79,11,1.97,1.57
1591056000,80+,15,8.37,2.14
1591142400,00+,22,1.04,3.14
1591142400,00-04,0,0.00,0.00
1591142400,05-14,0,0.00,0.00
1591142400,15-34,0,0.00,0.00
1591142400,35-59,2,0.28,0.29
1591142400,60-79,7,1.25,1.00
1591142400,80+,13,7.26,1.86
1591228800,00+,23,1.08,3.29
1591228800,00-04,0,0.00,0.00
1591228800,05-14,0,0.00,0.00
1591228800,15-34,0,0.00,0.00
1591228800,35-59,4,0.55,0.57
1591228800,60-79,8,1.43,1.14
1591228800,80+,11,6.14,1.57
1591315200,00+,19,0.90,2.71
1591315200,00-04,0,0.00,0.00
1591315200,05-14,0,0.00,0.00
1591315200,15-34,1,0.26,0.14
1591315200,35-59,3,0.42,0.43
1591315200,60-79,8,1.43,1.14
1591315200,80+,7,3.91,1.00
1591401600,00+,17,0.80,2.43
1591401600,00-04,0,0.00,0.00
1591401600,05-14,0,0.00,0.00
1591401600,15-34,1,0.26,0.14
1591401600,35-59,4,0.55,0.57
1591401600,60-79,6,1.07,0.86
1591401600,80+,6,3.35,0.86
1591488000,00+,14,0.66,2.00
1591488000,00-04,0,0.00,0.00
1591488000,05-14,0,0.00,0.00
1591488000,15-34,1,0.26,0.14
1591488000,35-59,4,0.55,0.57
1591488000,60-79,5,0.89,0.71
1591488000,80+,4,2.23,0.57
1591574400,00+,13,0.61,1.86
1591574400,00-04,0,0.00,0.00
1591574400,05-14,0,0.00,0.00
1591574400,15-34,1,0.26,0.14
1591574400,35-59,4,0.55,0.57
1591574400,60-79,6,1.07,0.86
1591574400,80+,2,1.12,0.29
1591660800,00+,13,0.61,1.86
1591660800,00-04,0,0.00,0.00
1591660800,05-14,0,0.00,0.00
1591660800,15-34,1,0.26,0.14
1591660800,35-59,3,0.42,0.43
1591660800,60-79,6,1.07,0.86
1591660800,80+,3,1.67,0.43
1591747200,00+,14,0.66,2.00
1591747200,00-04,0,0.00,0.00
1591747200,05-14,0,0.00,0.00
1591747200,15-34,1,0.26,0.14
